previous,,,,,next
20.26|21.12|21.16|21.11|21.64,,,,,5
21.12|21.16|21.11|21.64|20.43,,,,,7
21.16|21.11|21.64|20.43|28.74,,,,,7
21.11|21.64|20.43|28.74|35.91,,,,,7
21.64|20.43|28.74|35.91|32.75,,,,,7
20.43|28.74|35.91|32.75|28.27,,,,,6
28.74|35.91|32.75|28.27|24.39,,,,,7
35.91|32.75|28.27|24.39|25.75,,,,,6
32.75|28.27|24.39|25.75|25.74,,,,,6
28.27|24.39|25.75|25.74|24.18,,,,,6
24.39|25.75|25.74|24.18|23.31,,,,,7
25.75|25.74|24.18|23.31|27.16,,,,,7
25.74|24.18|23.31|27.16|27.53,,,,,7
24.18|23.31|27.16|27.53|26.46,,,,,7
23.31|27.16|27.53|26.46|28.9,,,,,7
27.16|27.53|26.46|28.9|30.55,,,,,7
27.53|26.46|28.9|30.55|36.47,,,,,7
26.46|28.9|30.55|36.47|33.93,,,,,7
28.9|30.55|36.47|33.93|29.63,,,,,7
30.55|36.47|33.93|29.63|29.12,,,,,7
36.47|33.93|29.63|29.12|27.38,,,,,7
33.93|29.63|29.12|27.38|29.89,,,,,7
29.63|29.12|27.38|29.89|29.9,,,,,7
29.12|27.38|29.89|29.9|29.58,,,,,7
27.38|29.89|29.9|29.58|28.52,,,,,7
29.89|29.9|29.58|28.52|30.19,,,,,7
29.9|29.58|28.52|30.19|28.73,,,,,7
29.58|28.52|30.19|28.73|29.34,,,,,7
28.52|30.19|28.73|29.34|28.38,,,,,7
30.19|28.73|29.34|28.38|28.12,,,,,7
28.73|29.34|28.38|28.12|29.33,,,,,7
29.34|28.38|28.12|29.33|30.56,,,,,7
28.38|28.12|29.33|30.56|29.55,,,,,7
28.12|29.33|30.56|29.55|28.82,,,,,7
29.33|30.56|29.55|28.82|27.88,,,,,7
30.56|29.55|28.82|27.88|28.66,,,,,7
29.55|28.82|27.88|28.66|30.04,,,,,7
28.82|27.88|28.66|30.04|30.56,,,,,7
27.88|28.66|30.04|30.56|28.81,,,,,7
28.66|30.04|30.56|28.81|28.19,,,,,7
30.04|30.56|28.81|28.19|28.67,,,,,7
30.56|28.81|28.19|28.67|29.11,,,,,7
28.81|28.19|28.67|29.11|28.06,,,,,7
28.19|28.67|29.11|28.06|27.28,,,,,7
28.67|29.11|28.06|27.28|27.9,,,,,7
29.11|28.06|27.28|27.9|27.51,,,,,7
28.06|27.28|27.9|27.51|27.85,,,,,7
27.28|27.9|27.51|27.85|28.04,,,,,7
27.9|27.51|27.85|28.04|30.71,,,,,7
27.51|27.85|28.04|30.71|31.19,,,,,7
27.85|28.04|30.71|31.19|33.98,,,,,7
28.04|30.71|31.19|33.98|31.94,,,,,7
30.71|31.19|33.98|31.94|31.64,,,,,7
31.19|33.98|31.94|31.64|31.45,,,,,7
33.98|31.94|31.64|31.45|31.37,,,,,7
31.94|31.64|31.45|31.37|29.6,,,,,7
31.64|31.45|31.37|29.6|27.86,,,,,7
31.45|31.37|29.6|27.86|27.27,,,,,7
31.37|29.6|27.86|27.27|27.57,,,,,7
29.6|27.86|27.27|27.57|28.28,,,,,7
27.86|27.27|27.57|28.28|29.04,,,,,7
27.27|27.57|28.28|29.04|30.75,,,,,7
27.57|28.28|29.04|30.75|31.54,,,,,7
28.28|29.04|30.75|31.54|30.52,,,,,7
29.04|30.75|31.54|30.52|30.04,,,,,7
30.75|31.54|30.52|30.04|30.25,,,,,7
31.54|30.52|30.04|30.25|30.03,,,,,7
30.52|30.04|30.25|30.03|29.85,,,,,7
30.04|30.25|30.03|29.85|29.11,,,,,7
30.25|30.03|29.85|29.11|30.87,,,,,7
30.03|29.85|29.11|30.87|30.79,,,,,7
29.85|29.11|30.87|30.79|26.96,,,,,6
29.11|30.87|30.79|26.96|25.6,,,,,6
30.87|30.79|26.96|25.6|24.58,,,,,6
30.79|26.96|25.6|24.58|22.89,,,,,6
26.96|25.6|24.58|22.89|22.57,,,,,5
25.6|24.58|22.89|22.57|21.34,,,,,5
24.58|22.89|22.57|21.34|20.95,,,,,5
22.89|22.57|21.34|20.95|20.09,,,,,5
22.57|21.34|20.95|20.09|21.09,,,,,5
21.34|20.95|20.09|21.09|20.98,,,,,6
20.95|20.09|21.09|20.98|22.76,,,,,6
20.09|21.09|20.98|22.76|22.86,,,,,6
21.09|20.98|22.76|22.86|22.96,,,,,6
20.98|22.76|22.86|22.96|23.91,,,,,6
22.76|22.86|22.96|23.91|22.16,,,,,6
22.86|22.96|23.91|22.16|22.29,,,,,6
22.96|23.91|22.16|22.29|22.03,,,,,5
23.91|22.16|22.29|22.03|20.94,,,,,6
22.16|22.29|22.03|20.94|22.62,,,,,6
22.29|22.03|20.94|22.62|22.59,,,,,6
22.03|20.94|22.62|22.59|23.58,,,,,6
20.94|22.62|22.59|23.58|23.75,,,,,5
22.62|22.59|23.58|23.75|21.28,,,,,6
22.59|23.58|23.75|21.28|23.05,,,,,6
23.58|23.75|21.28|23.05|23.85,,,,,6
23.75|21.28|23.05|23.85|24.85,,,,,6
21.28|23.05|23.85|24.85|23.11,,,,,6
23.05|23.85|24.85|23.11|23.08,,,,,6
23.85|24.85|23.11|23.08|23.13,,,,,6
24.85|23.11|23.08|23.13|22.66,,,,,6
23.11|23.08|23.13|22.66|24.03,,,,,6
23.08|23.13|22.66|24.03|24.18,,,,,6
23.13|22.66|24.03|24.18|24.81,,,,,6
22.66|24.03|24.18|24.81|25.05,,,,,7
24.03|24.18|24.81|25.05|26.38,,,,,7
24.18|24.81|25.05|26.38|26.62,,,,,7
24.81|25.05|26.38|26.62|27.93,,,,,7
25.05|26.38|26.62|27.93|27.19,,,,,7
26.38|26.62|27.93|27.19|28.95,,,,,7
26.62|27.93|27.19|28.95|30.38,,,,,7
27.93|27.19|28.95|30.38|33.3,,,,,7
27.19|28.95|30.38|33.3|31.33,,,,,7
28.95|30.38|33.3|31.33|32.63,,,,,7
30.38|33.3|31.33|32.63|36.2,,,,,7
33.3|31.33|32.63|36.2|36.16,,,,,7
31.33|32.63|36.2|36.16|33.2,,,,,7
32.63|36.2|36.16|33.2|27.45,,,,,6
36.2|36.16|33.2|27.45|25.39,,,,,6
36.16|33.2|27.45|25.39|24.33,,,,,6
33.2|27.45|25.39|24.33|24.9,,,,,6
27.45|25.39|24.33|24.9|23.92,,,,,6
25.39|24.33|24.9|23.92|22.86,,,,,6
24.33|24.9|23.92|22.86|22.2,,,,,6
24.9|23.92|22.86|22.2|23.05,,,,,6
23.92|22.86|22.2|23.05|23.17,,,,,5
22.86|22.2|23.05|23.17|21.37,,,,,5
22.2|23.05|23.17|21.37|20.91,,,,,5
23.05|23.17|21.37|20.91|21.04,,,,,6
23.17|21.37|20.91|21.04|21.86,,,,,5
21.37|20.91|21.04|21.86|21.46,,,,,6
20.91|21.04|21.86|21.46|22.68,,,,,6
21.04|21.86|21.46|22.68|23.6,,,,,6
21.86|21.46|22.68|23.6|23.38,,,,,6
21.46|22.68|23.6|23.38|22.56,,,,,6
22.68|23.6|23.38|22.56|22.26,,,,,5
23.6|23.38|22.56|22.26|20.86,,,,,5
23.38|22.56|22.26|20.86|21.48,,,,,5
22.56|22.26|20.86|21.48|19.57,,,,,5
22.26|20.86|21.48|19.57|19.84,,,,,6
20.86|21.48|19.57|19.84|22.26,,,,,5
21.48|19.57|19.84|22.26|20.78,,,,,5
19.57|19.84|22.26|20.78|21.01,,,,,6
19.84|22.26|20.78|21.01|22.86,,,,,5
22.26|20.78|21.01|22.86|20.38,,,,,5
20.78|21.01|22.86|20.38|21.26,,,,,5
21.01|22.86|20.38|21.26|21.23,,,,,5
22.86|20.38|21.26|21.23|20.86,,,,,5
20.38|21.26|21.23|20.86|20.45,,,,,5
21.26|21.23|20.86|20.45|20.55,,,,,5
21.23|20.86|20.45|20.55|21.05,,,,,5
20.86|20.45|20.55|21.05|20.81,,,,,5
20.45|20.55|21.05|20.81|20.88,,,,,5
20.55|21.05|20.81|20.88|18.82,,,,,3
21.05|20.81|20.88|18.82|16.09,,,,,3
20.81|20.88|18.82|16.09|14.94,,,,,3
20.88|18.82|16.09|14.94|14.9,,,,,3
18.82|16.09|14.94|14.9|15.79,,,,,3
16.09|14.94|14.9|15.79|16.11,,,,,3
14.94|14.9|15.79|16.11|16.04,,,,,4
14.9|15.79|16.11|16.04|16.86,,,,,4
15.79|16.11|16.04|16.86|16.49,,,,,4
16.11|16.04|16.86|16.49|16.76,,,,,4
16.04|16.86|16.49|16.76|16.31,,,,,4
16.86|16.49|16.76|16.31|16.55,,,,,4
16.49|16.76|16.31|16.55|16.88,,,,,4
16.76|16.31|16.55|16.88|17.42,,,,,4
16.31|16.55|16.88|17.42|17.4,,,,,4
16.55|16.88|17.42|17.4|17.61,,,,,4
16.88|17.42|17.4|17.61|18.01,,,,,4
17.42|17.4|17.61|18.01|17.63,,,,,4
17.4|17.61|18.01|17.63|17.41,,,,,5
17.61|18.01|17.63|17.41|20.12,,,,,5
18.01|17.63|17.41|20.12|19.73,,,,,4
17.63|17.41|20.12|19.73|17.24,,,,,4
17.41|20.12|19.73|17.24|18.45,,,,,4
20.12|19.73|17.24|18.45|16.5,,,,,3
19.73|17.24|18.45|16.5|15.82,,,,,3
17.24|18.45|16.5|15.82|15.47,,,,,4
18.45|16.5|15.82|15.47|16.26,,,,,3
16.5|15.82|15.47|16.26|15.68,,,,,4
15.82|15.47|16.26|15.68|16.78,,,,,4
15.47|16.26|15.68|16.78|17.02,,,,,4
16.26|15.68|16.78|17.02|16.72,,,,,4
15.68|16.78|17.02|16.72|17.15,,,,,4
16.78|17.02|16.72|17.15|17.27,,,,,4
17.02|16.72|17.15|17.27|18.27,,,,,4
16.72|17.15|17.27|18.27|18.24,,,,,4
17.15|17.27|18.27|18.24|17.77,,,,,4
17.27|18.27|18.24|17.77|17.52,,,,,4
18.27|18.24|17.77|17.52|17.24,,,,,4
18.24|17.77|17.52|17.24|17.92,,,,,4
17.77|17.52|17.24|17.92|17.46,,,,,4
17.52|17.24|17.92|17.46|17.78,,,,,4
17.24|17.92|17.46|17.78|17.17,,,,,4
17.92|17.46|17.78|17.17|17.54,,,,,4
17.46|17.78|17.17|17.54|17.66,,,,,4
17.78|17.17|17.54|17.66|18,,,,,4
17.17|17.54|17.66|18|18.38,,,,,4
17.54|17.66|18|18.38|17.24,,,,,4
17.66|18|18.38|17.24|16.64,,,,,4
18|18.38|17.24|16.64|17.1,,,,,3
18.38|17.24|16.64|17.1|16.07,,,,,3
17.24|16.64|17.1|16.07|16.16,,,,,3
16.64|17.1|16.07|16.16|16.11,,,,,3
17.1|16.07|16.16|16.11|15.23,,,,,3
16.07|16.16|16.11|15.23|15.67,,,,,3
16.16|16.11|15.23|15.67|15.9,,,,,3
16.11|15.23|15.67|15.9|16.02,,,,,3
15.23|15.67|15.9|16.02|15.93,,,,,4
15.67|15.9|16.02|15.93|16.87,,,,,3
15.9|16.02|15.93|16.87|16.17,,,,,4
16.02|15.93|16.87|16.17|16.4,,,,,4
15.93|16.87|16.17|16.4|16.93,,,,,4
16.87|16.17|16.4|16.93|16.98,,,,,4
16.17|16.4|16.93|16.98|17.47,,,,,4
16.4|16.93|16.98|17.47|17.32,,,,,4
16.93|16.98|17.47|17.32|17.72,,,,,4
16.98|17.47|17.32|17.72|16.99,,,,,3
17.47|17.32|17.72|16.99|15.98,,,,,3
17.32|17.72|16.99|15.98|15.5,,,,,3
17.72|16.99|15.98|15.5|16.14,,,,,4
16.99|15.98|15.5|16.14|17.44,,,,,4
15.98|15.5|16.14|17.44|16.75,,,,,4
15.5|16.14|17.44|16.75|16.51,,,,,4
16.14|17.44|16.75|16.51|18.28,,,,,4
17.44|16.75|16.51|18.28|17.85,,,,,4
16.75|16.51|18.28|17.85|17.98,,,,,4
16.51|18.28|17.85|17.98|17.87,,,,,5
18.28|17.85|17.98|17.87|19.55,,,,,4
17.85|17.98|17.87|19.55|18.64,,,,,4
17.98|17.87|19.55|18.64|17.63,,,,,5
17.87|19.55|18.64|17.63|19.47,,,,,4
19.55|18.64|17.63|19.47|18.35,,,,,5
18.64|17.63|19.47|18.35|20.29,,,,,5
17.63|19.47|18.35|20.29|19.76,,,,,5
19.47|18.35|20.29|19.76|19.19,,,,,4
18.35|20.29|19.76|19.19|17.39,,,,,4
20.29|19.76|19.19|17.39|18.29,,,,,4
19.76|19.19|17.39|18.29|17.78,,,,,4
19.19|17.39|18.29|17.78|17.49,,,,,4
17.39|18.29|17.78|17.49|17.52,,,,,3
18.29|17.78|17.49|17.52|15.77,,,,,3
17.78|17.49|17.52|15.77|15.5,,,,,4
17.49|17.52|15.77|15.5|16.9,,,,,4
17.52|15.77|15.5|16.9|16.58,,,,,4
15.77|15.5|16.9|16.58|16.41,,,,,3
15.5|16.9|16.58|16.41|15.74,,,,,3
16.9|16.58|16.41|15.74|15.45,,,,,3
16.58|16.41|15.74|15.45|15.67,,,,,3
16.41|15.74|15.45|15.67|15.47,,,,,3
15.74|15.45|15.67|15.47|15.18,,,,,3
15.45|15.67|15.47|15.18|15.47,,,,,3
15.67|15.47|15.18|15.47|15.26,,,,,3
15.47|15.18|15.47|15.26|15.92,,,,,3
15.18|15.47|15.26|15.92|15.54,,,,,3
15.47|15.26|15.92|15.54|15.56,,,,,3
15.26|15.92|15.54|15.56|15.98,,,,,3
15.92|15.54|15.56|15.98|15.45,,,,,3
15.54|15.56|15.98|15.45|15.26,,,,,3
15.56|15.98|15.45|15.26|14.73,,,,,3
15.98|15.45|15.26|14.73|15.09,,,,,3
15.45|15.26|14.73|15.09|15.19,,,,,3
15.26|14.73|15.09|15.19|16.01,,,,,5
14.73|15.09|15.19|16.01|21.19,,,,,5
15.09|15.19|16.01|21.19|18.86,,,,,3
15.19|16.01|21.19|18.86|15.62,,,,,3
16.01|21.19|18.86|15.62|14.59,,,,,3
21.19|18.86|15.62|14.59|14.41,,,,,3
18.86|15.62|14.59|14.41|14.81,,,,,3
15.62|14.59|14.41|14.81|15.46,,,,,3
14.59|14.41|14.81|15.46|15.31,,,,,3
14.41|14.81|15.46|15.31|14.82,,,,,3
14.81|15.46|15.31|14.82|14.46,,,,,4
15.46|15.31|14.82|14.46|16.57,,,,,4
15.31|14.82|14.46|16.57|17.18,,,,,4
14.82|14.46|16.57|17.18|17.31,,,,,4
14.46|16.57|17.18|17.31|16.76,,,,,4
16.57|17.18|17.31|16.76|17.73,,,,,4
17.18|17.31|16.76|17.73|18.22,,,,,4
17.31|16.76|17.73|18.22|17.96,,,,,3
16.76|17.73|18.22|17.96|16.21,,,,,4
17.73|18.22|17.96|16.21|17.88,,,,,4
18.22|17.96|16.21|17.88|17.82,,,,,4
17.96|16.21|17.88|17.82|17.68,,,,,4
16.21|17.88|17.82|17.68|17.56,,,,,4
17.88|17.82|17.68|17.56|17.56,,,,,4
17.82|17.68|17.56|17.56|17.08,,,,,4
17.68|17.56|17.56|17.08|16.38,,,,,3
17.56|17.56|17.08|16.38|16.04,,,,,3
17.56|17.08|16.38|16.04|15.68,,,,,3
17.08|16.38|16.04|15.68|15.35,,,,,4
16.38|16.04|15.68|15.35|16.31,,,,,3
16.04|15.68|15.35|16.31|15.85,,,,,3
15.68|15.35|16.31|15.85|14.81,,,,,3
15.35|16.31|15.85|14.81|15.81,,,,,4
16.31|15.85|14.81|15.81|17.04,,,,,3
15.85|14.81|15.81|17.04|15.63,,,,,4
14.81|15.81|17.04|15.63|18.58,,,,,4
15.81|17.04|15.63|18.58|17.81,,,,,4
17.04|15.63|18.58|17.81|18.54,,,,,4
15.63|18.58|17.81|18.54|17.8,,,,,4
18.58|17.81|18.54|17.8|17.6,,,,,4
17.81|18.54|17.8|17.6|16.71,,,,,3
18.54|17.8|17.6|16.71|16.22,,,,,3
17.8|17.6|16.71|16.22|14.85,,,,,4
17.6|16.71|16.22|14.85|16.32,,,,,3
16.71|16.22|14.85|16.32|15.87,,,,,4
16.22|14.85|16.32|15.87|16.66,,,,,4
14.85|16.32|15.87|16.66|16.55,,,,,4
16.32|15.87|16.66|16.55|16.26,,,,,3
15.87|16.66|16.55|16.26|15.62,,,,,3
16.66|16.55|16.26|15.62|15.75,,,,,3
16.55|16.26|15.62|15.75|15.45,,,,,3
16.26|15.62|15.75|15.45|15.55,,,,,3
15.62|15.75|15.45|15.55|15.46,,,,,3
15.75|15.45|15.55|15.46|15.48,,,,,3
15.45|15.55|15.46|15.48|15.6,,,,,4
15.55|15.46|15.48|15.6|16.35,,,,,4
15.46|15.48|15.6|16.35|16.48,,,,,4
15.48|15.6|16.35|16.48|16.47,,,,,3
15.6|16.35|16.48|16.47|15.97,,,,,3
16.35|16.48|16.47|15.97|15.43,,,,,3
16.48|16.47|15.97|15.43|14.89,,,,,2
16.47|15.97|15.43|14.89|14.04,,,,,2
15.97|15.43|14.89|14.04|13.95,,,,,2
15.43|14.89|14.04|13.95|13.96,,,,,5
14.89|14.04|13.95|13.96|21.18,,,,,4
14.04|13.95|13.96|21.18|18.28,,,,,5
13.95|13.96|21.18|18.28|20.34,,,,,5
13.96|21.18|18.28|20.34|20.4,,,,,5
21.18|18.28|20.34|20.4|19.11,,,,,5
18.28|20.34|20.4|19.11|21.2,,,,,6
20.34|20.4|19.11|21.2|21.92,,,,,5
20.4|19.11|21.2|21.92|19.8,,,,,5
19.11|21.2|21.92|19.8|19.84,,,,,5
21.2|21.92|19.8|19.84|20.26,,,,,5
21.92|19.8|19.84|20.26|20.18,,,,,5
19.8|19.84|20.26|20.18|19.7,,,,,5
19.84|20.26|20.18|19.7|19.54,,,,,5
20.26|20.18|19.7|19.54|20.19,,,,,5
20.18|19.7|19.54|20.19|19.04,,,,,5
19.7|19.54|20.19|19.04|19.74,,,,,5
19.54|20.19|19.04|19.74|19.89,,,,,5
20.19|19.04|19.74|19.89|20.57,,,,,5
19.04|19.74|19.89|20.57|19.08,,,,,4
19.74|19.89|20.57|19.08|17.88,,,,,4
19.89|20.57|19.08|17.88|17.62,,,,,4
20.57|19.08|17.88|17.62|18.12,,,,,4
19.08|17.88|17.62|18.12|17.78,,,,,4
17.88|17.62|18.12|17.78|17.96,,,,,4
17.62|18.12|17.78|17.96|17.65,,,,,4
18.12|17.78|17.96|17.65|16.61,,,,,3
17.78|17.96|17.65|16.61|15.67,,,,,3
17.96|17.65|16.61|15.67|15.44,,,,,3
17.65|16.61|15.67|15.44|15.7,,,,,4
16.61|15.67|15.44|15.7|17.63,,,,,5
15.67|15.44|15.7|17.63|19.31,,,,,5
15.44|15.7|17.63|19.31|18.95,,,,,5
15.7|17.63|19.31|18.95|18.75,,,,,5
17.63|19.31|18.95|18.75|18.96,,,,,5
19.31|18.95|18.75|18.96|19.23,,,,,5
18.95|18.75|18.96|19.23|18.72,,,,,5
18.75|18.96|19.23|18.72|18.96,,,,,4
18.96|19.23|18.72|18.96|18.45,,,,,4
19.23|18.72|18.96|18.45|18.01,,,,,4
18.72|18.96|18.45|18.01|17.01,,,,,4
18.96|18.45|18.01|17.01|17.39,,,,,4
18.45|18.01|17.01|17.39|17.64,,,,,4
18.01|17.01|17.39|17.64|16.32,,,,,4
17.01|17.39|17.64|16.32|16.42,,,,,4
17.39|17.64|16.32|16.42|17.92,,,,,4
17.64|16.32|16.42|17.92|16.75,,,,,4
16.32|16.42|17.92|16.75|16.46,,,,,4
16.42|17.92|16.75|16.46|16.24,,,,,4
17.92|16.75|16.46|16.24|16.67,,,,,4
16.75|16.46|16.24|16.67|17.67,,,,,4
16.46|16.24|16.67|17.67|17.62,,,,,4
16.24|16.67|17.67|17.62|17.49,,,,,4
16.67|17.67|17.62|17.49|17.4,,,,,4
17.67|17.62|17.49|17.4|18.2,,,,,4
17.62|17.49|17.4|18.2|17.96,,,,,4
17.49|17.4|18.2|17.96|18.22,,,,,5
17.4|18.2|17.96|18.22|18.79,,,,,4
18.2|17.96|18.22|18.79|18.51,,,,,4
17.96|18.22|18.79|18.51|18.56,,,,,4
18.22|18.79|18.51|18.56|17.7,,,,,4
18.79|18.51|18.56|17.7|17.37,,,,,4
18.51|18.56|17.7|17.37|17.45,,,,,4
18.56|17.7|17.37|17.45|17.03,,,,,4
17.7|17.37|17.45|17.03|18.22,,,,,4
17.37|17.45|17.03|18.22|17.16,,,,,4
17.45|17.03|18.22|17.16|16.72,,,,,4
17.03|18.22|17.16|16.72|16.87,,,,,4
18.22|17.16|16.72|16.87|17.13,,,,,4
